Keyword	Tags	Insights
Whey		
Cookie		
Frito-Lay		
Potato chip		
Barley		
Low-carbohydrate diet		
Lay's		
Fried chicken		
aquafina		
pepsi		
kurkure		
mountain dew		
pepsico		
fanta		
soft drinks		
biscuits		
Mcdonald's 		
pineapple		
sandwich		
bottled water		
kale		
coffeemaker		
tap water		
cortado		
ristretto		
watermelon		
ketchup		
cream soda		
pomegranate		
kiwi fruit		
nestle		
chocolate chip		
lemon		
coca cola zero		
minute maid		
Nestle		
Sprite		
soft drinks		
doritos		
gatorade		
tropicana		
coca-cola		
schweppes		
diet coke		
powerade		
thumbs up		
