Keyword	Node	Insights	URLs
Inception		
Doctor Strange 		
The Matrix		
Hulk (comics)		
Avengers (comics)		
DEADPOOL: The Movie
Marvel Studios		
Star Trek		
The Hunger Games		
Spider-Man 3	
Spider-Man 		
WALL-E		
Spider-Man 2		
Spider-Man (2002 film)		
Star Trek: The Original Series 		
The Hunger Games (film)		
Iron Man 2		
Logan		
Iron Man 		
The Amazing Spider-Man (2012 film)		
Deadpool		
The Avengers (2012 film)		
Marvel Entertainment	
Ghost Rider	
Fantastic Four 		
Black Panther (comics)		
Thor (film)		
The Wolverine (film)		
Iron Man 3	
Captain America: The Winter Soldier		
Guardians of the Galaxy (film)		
Avengers: Age of Ultron		
Ant-Man (film)		
Fantastic Beasts and Where to Find Them (film)		
The Amazing Spider-Man 2		
The karate kid 		
Ghostbusters		
